,Larea,Rarea
100206,105767.984,107731.266
100307,81786.58,81107.79
100408,93083.74,95050.67
100610,96215.016,96839.78
101006,75084.125,74787.04
101107,80900.53,82460.68
101309,91709.44,93690.52
101915,84833.31,85289.31
102008,94850.84,95448.75
102109,105051.19,106294.805
102311,88379.6,89296.69
102513,103395.03,103763.39
102614,95929.086,96191.305
102715,104626.86,105475.31
102816,81881.11,82245.84
103010,94041.02,94704.33
103111,98288.97,99027.1
103212,99455.695,101135.92
103414,81012.29,80542.664
103515,83233.09,85269.016
103818,77259.7,78059.23
104012,85288.73,87409.7
104416,88126.89,88523.73
104820,75099.86,74899.75
105014,88873.8,88668.19
105115,87776.13,89072.18
105216,107928.45,107573.5
105620,90733.73,92459.56
105923,94057.8,94067.25
106016,87523.195,87768.54
106319,90407.91,89211.34
106521,97723.81,100636.97
106824,101686.734,101710.85
107018,82108.52,81419.516
107321,84907.2,85989.945
107422,94781.91,95206.15
107725,82793.11,84152.61
108020,98530.31,99520.04
108121,69164.26,70305.2
108222,97619.59,99448.875
108323,83949.06,85385.52
108525,81793.34,81430.17
108828,92983.266,93387.98
109123,93559.7,95011.234
109325,94373.58,94578.95
109830,73654.66,74361.34
110007,76131.41,77331.21
110411,87530.17,89088.555
110613,98838.836,99862.84
111009,96141.63,96664.5
111211,86522.34,86368.92
111312,79290.086,78572.6
111413,86673.586,87803.62
111514,95108.414,93639.72
111716,85345.914,85527.41
112112,93104.25,93701.64
112314,92696.04,92878.2
112516,79751.83,78717.44
112920,106254.125,106989.234
113215,97665.03,99305.58
113316,98629.9,98855.0
113619,90494.72,91883.69
113922,100803.74,101226.64
114217,81066.44,80754.72
114318,84137.58,83940.96
114419,99489.62,100076.164
114621,85515.734,85491.84
114823,92145.445,92393.06
114924,91648.44,93139.45
115017,87350.695,87240.33
115219,96409.11,97228.19
115320,74673.7,74940.07
115825,88231.59,88407.836
116524,86442.4,85949.78
116726,91909.3,91320.15
117021,88465.25,88246.266
117122,82427.664,83262.47
117324,84152.19,85129.28
117930,82141.93,82963.39
118023,82769.6,81954.94
118124,68237.32,68767.94
118225,99406.23,101633.47
118528,83105.43,83296.68
118730,99748.35,102455.69
118831,87371.5,87780.62
118932,96185.5,95336.555
119025,96327.86,96874.39
119126,81991.04,83674.875
119732,85012.12,85978.82
119833,91924.69,92282.53
120111,92212.055,93982.47
120212,79766.37,78532.69
120414,67578.31,68902.27
120515,72642.11,74164.27
120717,86473.875,87525.21
121416,100872.58,102576.08
121618,95665.45,95473.59
121921,99995.35,100765.81
122317,90960.36,89340.72
122620,81217.02,81296.77
122822,85043.55,87227.39
123117,88581.25,88877.28
123420,86307.84,87403.14
123521,96126.2,98080.75
123723,82167.11,82776.55
123824,79474.96,80070.125
123925,76506.19,77880.85
124220,104895.28,105956.875
124422,84598.9,84461.055
124624,90150.78,89291.22
124826,88167.39,89397.53
125222,92725.22,91313.72
125424,88776.805,89076.49
125525,79498.59,80396.59
126325,81132.32,79780.11
126426,70331.47,69009.18
126628,81900.875,83044.38
127226,104340.8,103663.06
127327,106872.305,106857.625
127630,76967.01,77951.09
127731,82535.61,83645.12
127832,82434.21,81874.23
127933,102675.46,103865.516
128026,95338.68,96964.586
128127,85211.88,86585.555
128632,92346.71,91914.09
128935,87583.83,89136.68
129028,95073.805,95532.87
129129,85194.63,85581.82
129331,81096.625,82153.52
129634,84739.56,84091.31
130013,105581.15,106471.16
130114,103680.3,103204.03
130316,88629.016,88077.305
130417,97521.98,97591.33
130518,73303.17,74758.77
130619,88440.836,89641.63
130720,96018.86,96899.89
130821,80337.67,81673.67
130922,87980.2,88160.62
131217,87575.06,89340.28
131419,81294.91,82236.61
131722,84075.28,85228.734
131823,93217.1,94809.17
131924,97698.11,98865.3
132017,88200.3,88148.31
132118,87645.87,88788.31
133019,92360.69,93052.02
133625,96436.6,96835.555
133827,96282.016,97002.53
133928,88500.94,89148.06
134021,72053.266,73372.77
134223,82375.89,82883.72
134324,90987.46,91858.43
134425,82479.95,84848.375
134627,93556.58,95283.95
134728,103442.64,103453.22
134829,91904.12,90596.3
135124,81944.195,82662.664
135225,74572.625,75683.69
135528,74679.7,73590.67
135629,93644.984,95791.086
135730,91376.305,91514.86
135932,91155.5,91480.055
136126,99304.67,100331.766
136227,102346.16,103246.17
136631,97832.25,98842.66
136732,81398.01,80548.19
136833,84557.336,85352.87
137027,91577.39,92249.61
137128,71805.38,70591.22
137229,98816.06,101095.24
137431,87967.375,87493.27
137532,96265.33,96947.55
137633,80149.92,80857.23
137936,85205.43,85329.59
138130,84918.61,85150.91
138231,84435.7,84409.22
138332,80983.7,82394.14
138534,85367.22,86306.87
138837,90060.42,89372.32
139233,80411.38,80842.2
139435,75372.984,75420.734
139637,84993.484,86389.48
139839,100805.43,100827.89
140117,80988.195,81081.43
140319,82791.875,83317.25
140420,83937.375,83275.94
140824,91494.79,92444.08
140925,86658.484,87703.64
141119,94438.12,96081.06
141422,87156.984,87320.72
141826,86179.125,86150.96
142828,103464.94,103179.6
143224,85913.98,85675.47
143325,76030.61,76916.94
143426,85412.5,85673.08
143830,81360.16,81696.42
144125,82892.42,83474.84
144226,76673.0,77392.24
144428,96423.65,98489.65
144731,90470.92,92672.484
144832,86538.484,88320.47
144933,94305.81,95311.09
145127,101043.664,101585.195
145632,83891.375,85704.3
145834,90283.49,90622.836
146129,94138.586,93206.03
146432,100489.9,100991.41
146533,101386.39,101779.91
146735,69103.52,70046.43
146836,95487.836,97398.484
146937,80023.2,81997.555
